timestamp,dx,dy
1744381338.4631524,1,1
1744381338.4711556,0,0
1744381338.4789758,0,1
1744381338,0,0
1744381338.4952881,0,1
1744381338.5030591,1,1
1744381338.5110126,1,0
1744381338.5191286,0,2
1744381338.5270653,1,1
1744381338.5356522,1,0
1744381338.5437768,0,0
1744381338.551051,1,1
1744381339.1069937,1,0
1744381339.1150296,2,-3
1744381339.5410998,9,13
1744381339.5491242,6,12
1744381339.5572565,9,18
1744381339.5650072,5,10
1744381339.5732377,6,14
1744381339.5810301,4,9
1744381339.5910268,5,12
1744381339.5990565,6,14
1744381339.6072562,3,10
1744381339.615063,1,5
1744381339.6232347,3,10
1744381339.6310964,1,7
1744381339.6391306,1,3
1744381339.6470215,0,5
1744381339.6551154,1,7
1744381339.663033,0,6
1744381339.671049,-1,7
1744381339.6791713,-2,5
1744381339.6875565,-3,6
1744381339.694982,-3,6
1744381339.703004,-4,5
1744381339.711031,-5,5
1744381339.7190886,-1,2
1744381339.7269895,-3,3
1744381339.7351327,-4,3
1744381339.7430353,-4,3
1744381339.7510335,-3,5
1744381339.7590463,-5,6
1744381339.7670803,-6,7
1744381339.7752495,-3,7
1744381339.782961,-1,4
1744381339.791037,-3,7
1744381339.7990174,-2,6
1744381339.8071995,-2,5
1744381339.815113,-4,10
1744381339.8232117,-3,7
1744381339.831142,-3,6
1744381339.8391235,-1,6
1744381339.8470128,-2,4
1744381339.8971298,-4,12
1744381339.8977132,0,2
1744381339.9050567,-1,1
1744381339.9129508,0,1
1744381339.921265,0,1
1744381339.9290187,0,1
1744381339.9370513,-1,2
1744381339.944948,0,2
1744381339.9532619,0,1
1744381339.9610202,0,2
1744381339.9694333,-1,1
1744381339.977061,-1,2
1744381339.9850078,0,0
1744381339.9929893,0,2
1744381340.0010211,-1,1
1744381340.0090122,0,1
1744381340.0170357,-1,2
1744381340.0252478,0,3
1744381340.033003,-1,5
1744381340.0409813,-1,2
1744381340.0492158,0,2
1744381340.0572486,-1,1
1744381340.0650125,0,1
1744381340.493041,-33,302
1744381340.498904,-2,0
1744381340.5090673,1,0
1744381340.5171092,-2,0
1744381340.5251687,3,-1
1744381340.5331092,-2,-1
1744381340.5410554,0,0
1744381340.5490234,-1,-2
1744381340.5572443,1,3
1744381340.5650146,-2,-1
1744381340.573194,2,0
1744381340.5812323,-3,0
1744381340.5891652,0,0
1744381340.5970821,-6,-2
1744381340.6050704,9,3
1744381340.6129904,-5,-1
1744381340.6210525,-5,-1
1744381340.6290221,10,2
1744381340.6369505,-2,0
1744381340.6449866,2,0
1744381340.6530006,-1,-1
1744381340.6611886,0,1
1744381340.6696165,-2,-1
1744381340.6771584,2,1
1744381340.685152,-4,-1
